temperature,rainfall,soil_moisture,soil_humidity,ndvi,historical_rainfall,historical_temperature,days_since_planting,soil_type,current_crop,label
32.51,25.96,0.274,0.283,0.383,57.74,34.12,88,argileux,mil,1
21.91,37.67,0.072,0.017,0.286,36.14,23.33,6,loam,arachide,0
16.07,17.38,0.330,0.336,0.500,15.10,12.79,88,sableux,coton,1
21.74,29.92,0.123,0.235,0.266,68.17,25.32,16,loam,coton,1
28.60,1.25,0.119,0.025,0.256,27.07,29.75,25,argileux,riz,0
30.85,4.29,0.059,0.082,0.198,32.62,30.48,95,argileux,coton,0
22.29,13.21,0.021,0.017,0.172,39.72,20.54,46,loam,maïs,0
15.76,39.56,0.058,0.010,0.272,54.74,18.31,10,loam,maïs,1
20.49,0.85,0.388,0.399,0.417,0.00,21.72,93,loam,maïs,1
28.84,122.45,0.256,0.230,0.558,148.36,28.77,78,argileux,mil,1
19.15,0.95,0.204,0.224,0.226,16.69,14.45,18,sableux,riz,0
20.08,20.87,0.303,0.276,0.411,70.51,20.77,89,sableux,riz,1
17.02,8.84,0.193,0.157,0.334,60.53,16.51,111,loam,coton,1
17.03,27.40,0.282,0.106,0.437,22.58,16.21,2,sableux,mil,1
28.14,64.14,0.175,0.292,0.302,71.03,28.86,80,argileux,mil,1
27.63,10.33,0.141,0.115,0.318,0.00,27.76,51,argileux,sorgho,0
23.05,88.32,0.265,0.187,0.477,133.31,19.91,100,argileux,maïs,1
28.16,0.92,0.346,0.227,0.427,41.22,28.41,73,argileux,maïs,1
15.43,13.69,0.154,0.285,0.303,26.16,13.31,85,sableux,coton,0
17.59,2.04,0.661,0.722,0.548,18.34,15.97,14,sableux,arachide,1
17.23,16.32,0.392,0.406,0.374,0.00,17.03,68,loam,coton,1
26.70,73.07,0.192,0.187,0.497,117.87,30.76,19,sableux,mil,1
29.94,9.51,0.636,0.735,0.684,33.74,27.19,102,sableux,maïs,3
35.16,6.56,0.080,0.131,0.248,17.29,34.87,70,loam,mil,0
22.91,15.14,0.503,0.568,0.444,33.17,24.11,90,loam,maïs,1
24.56,12.94,0.229,0.280,0.299,34.13,21.54,91,loam,arachide,0
19.33,44.68,0.338,0.193,0.494,35.31,23.22,60,sableux,sorgho,1
25.83,5.43,0.556,0.549,0.468,41.17,28.24,95,sableux,mil,3
29.27,26.63,0.227,0.326,0.399,60.30,30.28,64,loam,arachide,1
10.23,9.05,0.390,0.354,0.420,42.98,10.00,76,argileux,maïs,1
32.32,13.76,0.398,0.411,0.529,54.60,32.63,64,sableux,mil,1
